,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
2669,15,New this week,CHILL FACTOR,Sandra Brown,Simon & Schuster,A successful magazine editor is trapped in her remote cabin with a man believed to be a serial killer; first published in 2005.,2014-07-27,Sandra Brown,,,,,,,2014,,,,
2670,1,New this week,THE BOOK OF LIFE,Deborah Harkness,Viking,"In the conclusion to the All Souls trilogy, the Oxford scholar/witch Diana Bishop and the vampire geneticist Matthew Clairmont return from Elizabethan London to the present.",2014-08-03,Deborah Harkness,,THE BOOK OF LIFE,"The Book of Life (All Souls, #3)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.2,185670.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2671,2,New this week,THE HEIST,Daniel Silva,Harper,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, must track down a famous missing painting by Caravaggio.",2014-08-03,Daniel Silva,,THE HEIST,"The Heist (Gabriel Allon, #14)",https://www.goodreads.com/author/show/29085.Daniel_Silva?from_search=true&from_srp=true,4.17,26254.0,2014,Michigan,Michigan,Point,"[-85.60236429999999, 44.3148443]"
2672,3,New this week,CUT AND THRUST,Stuart Woods,Putnam,Complications abound as the New York lawyer Stone Barrington attends a political convention in Los Angeles.,2014-08-03,Stuart Woods,,CUT AND THRUST,"Cut and Thrust (Stone Barrington, #30)",https://www.goodreads.com/author/show/3936.Stuart_Woods?from_search=true&from_srp=true,3.78,5510.0,2014,"Manchester, Georgia, The United States","Manchester, Georgia, The United States",Point,"[-84.6199251, 32.8598538]"
2673,4,86 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-08-03,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2674,5,4 weeks on the list,INVISIBLE,James Patterson and David Ellis,"Little, Brown","Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of unsolved cases.",2014-08-03,James Patterson,David Ellis,,,,,,2014,,,,
2675,6,2 weeks on the list,ACT OF WAR,Brad Thor,Emily Bestler/Atria,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,2014-08-03,Brad Thor,,ACT OF WAR,"Act of War (Scot Harvath, #13)",https://www.goodreads.com/author/show/5088.Brad_Thor?from_search=true&from_srp=true,4.18,16145.0,2014,,,,
2676,7,39 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-08-03,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2677,8,5 weeks on the list,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,2014-08-03,Janet Evanovich,,TOP SECRET TWENTY-ONE,"Top Secret Twenty-One (Stephanie Plum, #21)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.89,60353.0,2014,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
2678,9,26 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-08-03,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2679,10,5 weeks on the list,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown","The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J. K. Rowling, writing pseudonymously.",2014-08-03,Robert Galbraith,,THE SILKWORM,"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/author/show/383606.Robert_Galbraith?from_search=true&from_srp=true,4.05,262511.0,2014,"Yate, The United Kingdom","Yate, The United Kingdom",Point,"[-2.414323, 51.54158899999999]"
2680,11,New this week,SIGHT UNSEEN,Iris Johansen and Roy Johansen,St. Martin's,The investigator Kendra Michaels employs her highly developed senses to deal with an admirer who is also her most ruthless enemy.,2014-08-03,Iris Johansen,Roy Johansen,SIGHT UNSEEN,"Sight Unseen (Kendra Michaels, #2)",https://www.goodreads.com/author/show/32498.Iris_Johansen?from_search=true&from_srp=true,4.17,5191.0,2014,"St. Louis, Missouri","St. Louis, Missouri",Point,"[-90.19940419999999, 38.6270025]"
2681,12,2 weeks on the list,POWER PLAY,Catherine Coulter,Putnam,The F.B.I. agents Dillon Savich and Lacey Sherlock are out to discover who is trying to kill the ambassador to Britain.,2014-08-03,Catherine Coulter,,POWER PLAY,"Power Play (FBI Thriller, #18)",https://www.goodreads.com/author/show/1239.Catherine_Coulter?from_search=true&from_srp=true,4.17,8610.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2682,13,New this week,ADDICTED,Tracy Wolff,Loveswept/Random House,"As Chloe Girard discovers, there’s love, and then there’s addiction; an Ethan Frost novel.",2014-08-03,Tracy Wolff,,,,,,,2014,,,,
2683,14,New this week,WAYFARING STRANGER,James Lee Burke,Simon & Schuster,"A man’s life is traced over decades, starting with his encounter, at age 16, with Bonnie and Clyde.",2014-08-03,James Lee Burke,,WAYFARING STRANGER,"Wayfaring Stranger (Holland Family Saga, #1)",https://www.goodreads.com/author/show/7031.James_Lee_Burke?from_search=true&from_srp=true,4.08,6852.0,2014,"Houston, Texas, The United States","Houston, Texas, The United States",Point,"[-95.3698028, 29.7604267]"
2684,15,7 weeks on the list,MR. MERCEDES,Stephen King,Scribner,"A driver plows into a crowd at a job fair, killing eight. The killer then taunts a suicidal ex-cop, who must stop a deadlier attack.",2014-08-03,Stephen King,,MR. MERCEDES,"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,4.01,308050.0,2014,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
2685,1,66 weeks on the list,FIFTY SHADES OF GREY,E. L. James,Vintage,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,2014-08-10,E. L. James,,,,,,,2014,,,,
2686,2,New this week,A PERFECT LIFE,Danielle Steel,Delacorte,A successful TV anchor faces a young rival at work just as the long-kept secrets of her private life are exposed.,2014-08-10,Danielle Steel,,A PERFECT LIFE,A Perfect Life,https://www.goodreads.com/author/show/14255.Danielle_Steel?from_search=true&from_srp=true,3.97,9118.0,2014,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
2687,3,2 weeks on the list,THE HEIST,Daniel Silva,Harper,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, must track down a famous missing painting by Caravaggio.",2014-08-10,Daniel Silva,,THE HEIST,"The Heist (Gabriel Allon, #14)",https://www.goodreads.com/author/show/29085.Daniel_Silva?from_search=true&from_srp=true,4.17,26254.0,2014,Michigan,Michigan,Point,"[-85.60236429999999, 44.3148443]"
2688,4,87 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-08-10,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2689,5,New this week,TOM CLANCY: SUPPORT AND DEFEND,Mark Greaney,Putnam,"A Dominic Caruso novel, written in the tradition of Clancy, who died in October 2013.",2014-08-10,Mark Greaney,,TOM CLANCY: SUPPORT AND DEFEND,Tom Clancy Support and Defend,https://www.goodreads.com/author/show/2961590.Mark_Greaney?from_search=true&from_srp=true,4.17,9718.0,2014,"Memphis, TN , The United States","Memphis, TN , The United States",Point,"[-90.0489801, 35.1495343]"
2690,6,2 weeks on the list,THE BOOK OF LIFE,Deborah Harkness,Viking,"In the conclusion to the All Souls trilogy, the Oxford scholar/witch Diana Bishop and the vampire geneticist Matthew Clairmont return from Elizabethan London to the present.",2014-08-10,Deborah Harkness,,THE BOOK OF LIFE,"The Book of Life (All Souls, #3)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.2,185670.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2691,7,3 weeks on the list,ACT OF WAR,Brad Thor,Emily Bestler/Atria,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,2014-08-10,Brad Thor,,ACT OF WAR,"Act of War (Scot Harvath, #13)",https://www.goodreads.com/author/show/5088.Brad_Thor?from_search=true&from_srp=true,4.18,16145.0,2014,,,,
2692,8,40 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-08-10,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2693,9,5 weeks on the list,INVISIBLE,James Patterson and David Ellis,"Little, Brown","Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of unsolved cases.",2014-08-10,James Patterson,David Ellis,,,,,,2014,,,,
2694,10,New this week,REMAINS OF INNOCENCE,J. A. Jance,Morrow/HarperCollins,"Sheriff Joanna Brady must solve two seemingly unrelated, perplexing cases.",2014-08-10,J. A. Jance,,,,,,,2014,,,,
2695,11,16 weeks on the list,FIFTY SHADES TRILOGY,E. L. James,Vintage,The three “Fifty Shades” novels in one bundle.,2014-08-10,E. L. James,,,,,,,2014,,,,
2696,12,27 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-08-10,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2697,13,6 weeks on the list,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown","The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J. K. Rowling, writing pseudonymously.",2014-08-10,Robert Galbraith,,THE SILKWORM,"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/author/show/383606.Robert_Galbraith?from_search=true&from_srp=true,4.05,262511.0,2014,"Yate, The United Kingdom","Yate, The United Kingdom",Point,"[-2.414323, 51.54158899999999]"
2698,14,6 weeks on the list,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,2014-08-10,Janet Evanovich,,TOP SECRET TWENTY-ONE,"Top Secret Twenty-One (Stephanie Plum, #21)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.89,60353.0,2014,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
2699,15,5 weeks on the list,DON'T SAY A WORD,Barbara Freethy,Barbara Freethy,A reckless photographer helps a woman delve into the mysteries of her past.,2014-08-10,Barbara Freethy,,DON'T SAY A WORD,Don't Say a Word,https://www.goodreads.com/author/show/136075.Barbara_Freethy?from_search=true&from_srp=true,3.93,7529.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
